dataset,model_dir,MASE,WQL,mase_rank,wql_rank
m4_yearly/a/short,CHARM,7.593335647150201,0.216802597705312,127.0,127.0
m4_quarterly/q/short,CHARM,1.6810757010201356,0.0884061944362655,123.0,108.0
m4_monthly/m/short,CHARM,1.018299970464635,0.0932354410923763,97.0,57.0
m4_weekly/w/short,CHARM,2.2951432096479425,0.0379365999592393,81.0,58.0
m4_daily/d/short,CHARM,4.049541951845173,0.0255759428828857,115.0,103.0
m4_hourly/h/short,CHARM,0.9628039788113492,0.0190458375844903,87.0,15.0
electricity/15t/short,CHARM,1.0868165940211345,0.089998488722107,88.0,67.0
electricity/15t/medium,CHARM,0.8517513869671138,0.072715811570898,61.0,40.0
electricity/15t/long,CHARM,0.8968833256214381,0.071346034518578,60.0,22.0
electricity/h/short,CHARM,1.0015472999516133,0.0668027912816862,82.0,56.0
electricity/h/medium,CHARM,1.0816635062677755,0.0695131336659759,74.0,5.0
electricity/h/long,CHARM,1.1604502759386406,0.0757351430007272,38.0,6.0
electricity/d/short,CHARM,1.4653160433534007,0.0565385872490015,82.0,65.0
electricity/w/short,CHARM,1.803978584052248,0.0652885879711369,102.0,95.0
solar/10t/short,CHARM,0.8803998488154768,0.3984541569594339,51.0,22.0
solar/10t/medium,CHARM,0.8595736652283438,0.300348340107183,68.0,29.0
solar/10t/long,CHARM,0.8918522563178894,0.3008509558214782,83.0,38.0
solar/h/short,CHARM,0.8951143891173999,0.3093690338248978,88.0,49.0
solar/h/medium,CHARM,0.9265375943825596,0.3137218811826012,88.0,49.0
solar/h/long,CHARM,0.981163325524806,0.3062537214460203,83.0,48.0
solar/d/short,CHARM,0.9895321483195288,0.273472601426665,75.0,40.0
solar/w/short,CHARM,1.7479112891985091,0.2341911903117728,116.0,109.0
hospital/m/short,CHARM,0.8033462374272505,0.0538525874607591,101.0,75.0
covid_deaths/d/short,CHARM,38.22453032586524,0.0328331411691436,86.0,47.0
us_births/d/short,CHARM,0.4267631961157118,0.0204946839239117,80.0,68.0
us_births/m/short,CHARM,0.6645089475841784,0.0132266106812637,59.0,46.0
us_births/w/short,CHARM,1.2718276762082257,0.013463476235376,94.0,77.0
saugeen/d/short,CHARM,2.7290430153342196,0.3024276442306092,25.0,3.0
saugeen/m/short,CHARM,0.7334816336041241,0.2757463568486823,59.0,8.0
saugeen/w/short,CHARM,1.1773638139270086,0.3288411460699756,38.0,8.0
temperature_rain/d/short,CHARM,1.3641067445464523,0.5212514553562415,71.0,3.0
kdd_cup_2018/h/short,CHARM,0.9197559139740676,0.3412152310683595,36.0,16.0
kdd_cup_2018/h/medium,CHARM,1.0204878424859904,0.3835225911412399,28.0,20.0
kdd_cup_2018/h/long,CHARM,0.9956361260700548,0.4005467745793005,30.0,19.0
kdd_cup_2018/d/short,CHARM,1.1987815332885163,0.3540713294394005,75.0,6.0
car_parts/m/short,CHARM,0.8739543803854425,0.940713976267944,74.0,20.0
restaurant/d/short,CHARM,0.7034349249429964,0.245585095635033,87.0,1.0
hierarchical_sales/d/short,CHARM,0.7514331693424623,0.541088193766834,89.0,2.0
hierarchical_sales/w/short,CHARM,0.7551886247916773,0.3379094517718997,98.0,14.0
loop_seattle/5t/short,CHARM,0.6168106325577031,0.048871737552892,97.0,68.0
loop_seattle/5t/medium,CHARM,0.7688237711236765,0.0630240039145736,51.0,13.0
loop_seattle/5t/long,CHARM,0.8542708476693045,0.0708053020696208,58.0,32.0
loop_seattle/h/short,CHARM,0.841288573403987,0.0557328328512918,69.0,33.0
loop_seattle/h/medium,CHARM,0.9198625518651646,0.060191794653287,62.0,34.0
loop_seattle/h/long,CHARM,0.8923526635843902,0.0573894849597158,65.0,29.0
loop_seattle/d/short,CHARM,0.8807210252584604,0.0409691856742258,59.0,12.0
sz_taxi/15t/short,CHARM,0.5453009157401978,0.1862445640595649,60.0,2.0
sz_taxi/15t/medium,CHARM,0.5352734728529617,0.1862391257216221,44.0,1.0
sz_taxi/15t/long,CHARM,0.5149215144231301,0.1826249570751132,74.0,2.0
