config,default,mase,wql
bitbrains_fast_storage/5T/long,blend_tc,0.8542936526208874,0.7245149987141634
bitbrains_fast_storage/5T/medium,blend_tc,0.9384360843003288,0.6505474199281885
bitbrains_fast_storage/5T/short,blend_tc,0.6316719918819058,0.3937776199278887
bitbrains_fast_storage/H/short,blend_tc,0.9257839324618096,0.6730869537151154
bitbrains_rnd/5T/long,toto_25b_ft,3.3436330371949605,0.8065499785161756
bitbrains_rnd/5T/medium,toto_25b_ft,4.3852234190139585,0.610550500185008
bitbrains_rnd/5T/short,blend_tc,1.5890067579122509,0.3865846810781051
bitbrains_rnd/H/short,blend_tc,5.653765338963483,0.630379494639989
bizitobs_application/10S/short,blend_tc,0.931466466652516,0.0091270392469707
bizitobs_l2c/5T/long,blend_tc,0.7410501413686948,0.3350029022191355
bizitobs_l2c/5T/medium,blend_tc,0.575633717649005,0.243709592182138
bizitobs_l2c/5T/short,toto_25b_ft,0.1853709750002557,0.050062234257456
bizitobs_l2c/H/short,blend_tc,0.4037920475037523,0.1722448786207787
bizitobs_service/10S/medium,toto_uni,1.0047444575395208,0.0274330279339873
bizitobs_service/10S/short,blend_tc,0.6504930671894993,0.0096713026315793
car_parts/M/short,toto_25b_ft,0.8666058514945351,1.0041811499091946
covid_deaths/D/short,toto_25b_ft,29.55095460291492,0.0238354192975982
electricity/D/short,blend_tc,1.3657746784607363,0.0528730309886906
electricity/H/long,blend_tc,1.2181029117148183,0.0873114488962806
electricity/W/short,chronos2,1.4359496391749484,0.046665039803131
ett1/15T/long,blend_tc,1.002814202362942,0.2301728149334687
ett1/15T/medium,blend_tc,0.9766538110438184,0.2284277291428302
ett1/15T/short,blend_tc,0.6757303079884817,0.1587966652856105
ett1/D/short,blend_tc,1.6516632092550791,0.2788561473581187
ett1/H/long,blend_tc,1.350424835736122,0.2633108802965845
ett1/H/short,blend_tc,0.7863560444146068,0.1697515786410677
ett1/W/short,toto_25b_ft,1.5551847069422151,0.2612622454140503
ett2/15T/short,blend_tc,0.7114898817540355,0.0614947430059254
ett2/H/long,blend_tc,1.147911839717453,0.1160388217445198
ett2/H/short,blend_tc,0.7339964475987044,0.0639421060664724
hierarchical_sales/D/short,blend_tc,0.742381385801805,0.5727194065608348
hospital/M/short,toto_25b_ft,0.7489170549901987,0.0491341244571107
jena_weather/10T/short,blend_tc,0.2530174090453432,0.0277080216942156
jena_weather/D/short,tirex,1.0191441925752145,0.046018956659604
jena_weather/H/long,blend_tc,0.8818865316995051,0.0588798433286155
jena_weather/H/medium,blend_tc,0.7929089276470315,0.0502545588627986
jena_weather/H/short,blend_tc,0.5112010816752299,0.040660847597318
kdd_cup_2018/D/short,blend_tc,1.207120022266699,0.3831317509207887
kdd_cup_2018/H/long,blend_tc,1.0439464756147476,0.4635265070945782
electricity/H/short,blend_tc,0.8724509365087549,0.0622413566152026
kdd_cup_2018/H/medium,blend_tc,1.0848227617830184,0.4474847275092265
kdd_cup_2018/H/short,tirex,0.7159706742160666,0.3095692703971366
loop_seattle/5T/long,toto_25b_ft,0.7839854423444389,0.069468965482221
electricity/15T/short,blend_tc,0.86327711962047,0.0733740697278884
loop_seattle/D/short,blend_tc,0.8731389292266009,0.0422259517141298
