model_dir,mase_rank,wql_rank,mase,wql,position,type,leak
STRIDE_w_Synapse,14.896907216494846,13.814432989690722,1.3187904576016576,0.17336170594551578,1,agentic,No
EXAONE-Forecast-Agent,19.164948453608247,19.7319587628866,1.288731257581172,0.17407777826080645,2,agentic,No
TW3Cast,19.4020618556701,24.587628865979383,1.343196957606832,0.191528199427068,3,router,No
LS-MoE,19.670103092783506,20.50515463917526,1.3498885227146382,0.18658050293471296,4,agentic,No
LS-Agent,21.65979381443299,22.762886597938145,1.3538748798965343,0.18721138382033972,5,agentic,No
Falcon-Agent,22.54639175257732,23.567010309278352,1.3738948937133,0.19208891867459366,6,agentic,No
CastStar,22.608247422680414,21.185567010309278,1.362089639650303,0.18525719705389668,7,agentic,No
limix_moe,22.65979381443299,25.350515463917525,1.353697308055086,0.19198362805023086,8,agentic,No
TIMEHEDGE,24.195876288659793,23.257731958762886,1.3794232793358283,0.18677935283020694,9,agentic,No
RegLab-AH-1,24.814432989690722,25.391752577319586,1.3573162864085995,0.19020670798526815,10,agentic,No
RacineCast-1-NC,26.164948453608247,26.278350515463917,1.3690500697020977,0.1934859636171762,11,agentic,No
RacineCast-1,26.257731958762886,27.278350515463917,1.3681392856464694,0.19360734609766322,12,agentic,No
FastCastrage,27.79381443298969,27.948453608247423,1.3914184041502757,0.19198334129058747,13,agentic,No
TimesFM-3,28.216494845360824,26.47422680412371,1.3874736010717847,0.19269900534123252,14,zero-shot,No
Cobra-Agent,29.175257731958762,28.371134020618555,1.4042986611745862,0.19438297325744197,15,agentic,No
Toto-2.0-FnF,29.90721649484536,29.90721649484536,1.3714722382709195,0.19451461715841642,16,agentic,No
RAES-Conductance-Ensemble,31.02061855670103,31.4020618556701,1.3903520368474709,0.18808203877646892,17,agentic,Yes
Prism,31.79381443298969,31.34020618556701,1.4047947556729266,0.19785426011518237,18,agentic,No
EXAONE-Forecast,32.134020618556704,30.175257731958762,1.4393983308119649,0.1913604624952528,19,zero-shot,No
HistRoute-CV,32.63917525773196,33.21649484536083,1.3972567845979382,0.2055023696185567,20,agentic,No
