config,expert,weight
bitbrains_fast_storage/5T/long,__tournament__,1.0
bitbrains_fast_storage/5T/medium,E01,1.0
bitbrains_fast_storage/5T/short,__tournament__,1.0
bitbrains_fast_storage/H/short,E02,1.0
bitbrains_rnd/5T/long,toto_25b_ft,0.3333333333333333
bitbrains_rnd/5T/long,chronos2,0.3333333333333333
bitbrains_rnd/5T/long,turk,0.3333333333333333
bitbrains_rnd/5T/medium,toto_25b_ft,0.3333333333333333
bitbrains_rnd/5T/medium,chronos2,0.3333333333333333
bitbrains_rnd/5T/medium,turk,0.3333333333333333
bitbrains_rnd/5T/short,__tournament__,1.0
bitbrains_rnd/H/short,chronos2,0.5
bitbrains_rnd/H/short,turk,0.5
bizitobs_application/10S/short,__tournament__,1.0
bizitobs_l2c/5T/long,E03,1.0
bizitobs_l2c/5T/medium,E03,1.0
bizitobs_l2c/5T/short,__tournament__,1.0
bizitobs_l2c/H/short,toto_25b_ft,0.3333333333333333
bizitobs_l2c/H/short,chronos2,0.3333333333333333
bizitobs_l2c/H/short,timesfm,0.3333333333333333
bizitobs_service/10S/medium,toto_25b_ft,0.3333333333333333
bizitobs_service/10S/medium,chronos2,0.3333333333333333
bizitobs_service/10S/medium,timesfm,0.3333333333333333
bizitobs_service/10S/short,__tournament__,1.0
car_parts/M/short,chronos2,0.3333333333333333
car_parts/M/short,timesfm,0.3333333333333333
car_parts/M/short,tirex2,0.3333333333333333
covid_deaths/D/short,__tournament__,1.0
electricity/D/short,E04,0.5
electricity/D/short,toto_25b_ft,0.5
electricity/H/long,E05,1.0
electricity/W/short,E08,1.0
ett1/15T/long,turk,0.25
ett1/15T/long,chronos2,0.25
ett1/15T/long,E09,0.25
ett1/15T/long,tirex,0.25
ett1/15T/medium,E10,0.5
ett1/15T/medium,chronos2,0.5
ett1/15T/short,toto_25b_ft,0.3333333333333333
ett1/15T/short,chronos2,0.3333333333333333
ett1/15T/short,tirex,0.3333333333333333
ett1/D/short,E11,0.5
ett1/D/short,chronos2,0.5
ett1/H/long,tirex,0.3333333333333333
ett1/H/long,E12,0.3333333333333333
ett1/H/long,tirex2,0.3333333333333333
ett1/H/short,__tournament__,1.0
ett1/W/short,timesfm,0.3333333333333333
ett1/W/short,tirex2,0.3333333333333333
ett1/W/short,chronos2,0.3333333333333333
ett2/15T/short,toto_25b_ft,0.3333333333333333
ett2/15T/short,chronos2,0.3333333333333333
ett2/15T/short,timesfm,0.3333333333333333
ett2/H/long,turk,0.3333333333333333
ett2/H/long,timesfm,0.3333333333333333
ett2/H/long,E16,0.3333333333333333
ett2/H/short,E17,0.5
ett2/H/short,chronos2,0.5
hierarchical_sales/D/short,toto_25b_ft,0.3333333333333333
hierarchical_sales/D/short,chronos2,0.3333333333333333
hierarchical_sales/D/short,tirex,0.3333333333333333
hospital/M/short,__tournament__,1.0
jena_weather/10T/short,__tournament__,1.0
jena_weather/D/short,E20,0.5
jena_weather/D/short,timesfm,0.5
jena_weather/H/long,__tournament__,1.0
jena_weather/H/medium,E43,0.3333333333333333
jena_weather/H/medium,timesfm,0.3333333333333333
jena_weather/H/medium,chronos2,0.3333333333333333
jena_weather/H/short,__tournament__,1.0
kdd_cup_2018/D/short,toto_25b_ft,0.3333333333333333
kdd_cup_2018/D/short,timesfm,0.3333333333333333
kdd_cup_2018/D/short,turk,0.3333333333333333
kdd_cup_2018/H/long,E22,0.5
kdd_cup_2018/H/long,tirex,0.5
electricity/H/short,toto_25b_ft,0.3333333333333333
electricity/H/short,chronos2,0.3333333333333333
electricity/H/short,tirex,0.3333333333333333
kdd_cup_2018/H/medium,E22,0.5
kdd_cup_2018/H/medium,tirex,0.5
kdd_cup_2018/H/short,__tournament__,1.0
loop_seattle/5T/long,__tournament__,1.0
electricity/15T/short,__tournament__,1.0
loop_seattle/D/short,E23,0.5
loop_seattle/D/short,timesfm,0.5
loop_seattle/H/long,toto_25b_ft,0.3333333333333333
loop_seattle/H/long,chronos2,0.3333333333333333
loop_seattle/H/long,timesfm,0.3333333333333333
loop_seattle/H/medium,E24,1.0
loop_seattle/5T/medium,__tournament__,1.0
m4_hourly/H/short,E27,0.3333333333333333
m4_hourly/H/short,tirex,0.3333333333333333
m4_hourly/H/short,timesfm,0.3333333333333333
m4_monthly/M/short,__tournament__,1.0
loop_seattle/H/short,E27,0.3333333333333333
loop_seattle/H/short,timesfm,0.3333333333333333
loop_seattle/H/short,chronos2,0.3333333333333333
m4_weekly/W/short,toto_25b_ft,0.5
m4_weekly/W/short,timesfm,0.5
m4_yearly/A/short,__tournament__,1.0
m_dense/D/short,turk,0.3333333333333333
m_dense/D/short,E28,0.3333333333333333
m_dense/D/short,timesfm,0.3333333333333333
m_dense/H/long,toto_25b_ft,0.3333333333333333
m_dense/H/long,chronos2,0.3333333333333333
m_dense/H/long,timesfm,0.3333333333333333
m_dense/H/medium,toto_25b_ft,0.3333333333333333
m_dense/H/medium,chronos2,0.3333333333333333
m_dense/H/medium,timesfm,0.3333333333333333
m_dense/H/short,E29,0.3333333333333333
m_dense/H/short,chronos2,0.3333333333333333
m_dense/H/short,E27,0.3333333333333333
saugeen/D/short,chronos2,0.5
saugeen/D/short,timesfm,0.5
saugeen/M/short,toto_25b_ft,0.3333333333333333
saugeen/M/short,chronos2,0.3333333333333333
saugeen/M/short,timesfm,0.3333333333333333
saugeen/W/short,toto_25b_ft,0.5
saugeen/W/short,turk,0.5
m4_quarterly/Q/short,E32,0.5
m4_quarterly/Q/short,toto_25b_ft,0.5
solar/10T/long,toto_25b_ft,0.3333333333333333
solar/10T/long,chronos2,0.3333333333333333
solar/10T/long,turk,0.3333333333333333
solar/10T/medium,__tournament__,1.0
solar/D/short,__tournament__,1.0
solar/H/medium,E35,1.0
solar/H/short,__tournament__,1.0
sz_taxi/15T/long,E36,0.5
sz_taxi/15T/long,toto_25b_ft,0.5
sz_taxi/15T/medium,E36,0.5
sz_taxi/15T/medium,toto_25b_ft,0.5
sz_taxi/15T/short,__tournament__,1.0
solar/10T/short,toto_25b_ft,0.3333333333333333
solar/10T/short,chronos2,0.3333333333333333
solar/10T/short,turk,0.3333333333333333
us_births/D/short,__tournament__,1.0
us_births/W/short,E40,1.0
loop_seattle/5T/short,toto_25b_ft,0.3333333333333333
loop_seattle/5T/short,chronos2,0.3333333333333333
loop_seattle/5T/short,timesfm,0.3333333333333333
electricity/15T/medium,E09,0.3333333333333333
electricity/15T/medium,chronos2,0.3333333333333333
electricity/15T/medium,turk,0.3333333333333333
electricity/15T/long,E09,0.3333333333333333
electricity/15T/long,chronos2,0.3333333333333333
electricity/15T/long,tirex,0.3333333333333333
temperature_rain/D/short,E41,1.0
bizitobs_application/10S/medium,__tournament__,1.0
bizitobs_l2c/H/medium,E42,1.0
jena_weather/10T/medium,E44,1.0
bizitobs_application/10S/long,__tournament__,1.0
bizitobs_service/10S/long,__tournament__,1.0
bizitobs_l2c/H/long,E42,1.0
jena_weather/10T/long,__tournament__,1.0
ett2/W/short,E18,1.0
hierarchical_sales/W/short,E19,1.0
solar/W/short,E19,1.0
ett2/D/short,E04,0.5
ett2/D/short,E15,0.5
ett2/15T/medium,E10,0.5
ett2/15T/medium,E13,0.5
ett2/15T/long,E14,0.5
ett2/15T/long,turk,0.5
ett2/H/medium,E13,0.5
ett2/H/medium,toto_uni,0.5
restaurant/D/short,E30,0.3333333333333333
restaurant/D/short,turk,0.3333333333333333
restaurant/D/short,E31,0.3333333333333333
electricity/H/medium,E06,0.3333333333333333
electricity/H/medium,chronos2,0.3333333333333333
electricity/H/medium,E07,0.3333333333333333
sz_taxi/H/short,E27,0.5
sz_taxi/H/short,E37,0.5
m4_daily/D/short,E25,0.5
m4_daily/D/short,E26,0.5
us_births/M/short,E38,0.5
us_births/M/short,E39,0.5
ett1/H/medium,E13,0.5
ett1/H/medium,toto_uni,0.5
solar/H/long,tirex,0.3333333333333333
solar/H/long,E33,0.3333333333333333
solar/H/long,E34,0.3333333333333333
